"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"25688",15.3201411963831,1.10489491925601,0.373167099177903,2.9608583438629,0.00306783005499146,0.0438396702302792
"25791",526.849735966688,-1.06659175863551,0.305926504884981,-3.48643135395058,0.000489510996797891,0.0133700607062948
"26024",11.2959410854024,1.35448775738896,0.393328170377751,3.44365814451612,0.000573900847992263,0.0148131504162858
"26129",4.53611588438468,2.53896000744536,0.654315223637465,3.88033155232242,0.000104314169230112,0.00473504513270018
"26168",22322.9872343769,-1.5411672856378,0.429827423292314,-3.58554899506654,0.00033636984203525,0.0101129374585923
"27025",6.28660562976618,-2.13240385728383,0.541347121400465,-3.93906935676929,8.17982833858542e-05,0.00394506304246359
"27090",13.0682194421374,-1.9557132434262,0.53792853455085,-3.6356376689687,0.00027729385714435,0.00879363396286533
"27428",6.386392814687,-1.41528493022027,0.473095677971942,-2.9915406039795,0.00277573622099217,0.0411912137922876
"27948",6.96188705651787,2.93159561130294,0.79053102175348,3.70838781860876,0.000208583030607695,0.00773285620636542
"28248",4.07767094652797,-2.40378801726248,0.723223787920391,-3.32371260101179,0.000888276868549351,0.0195377141189005
"29227",115.986326354773,1.46314382094973,0.451301676432938,3.24205270522,0.00118672073323157,0.0228938208119258
"29236",78.3977538943449,1.85773232591233,0.601525181400662,3.08837000237724,0.00201257723795151,0.0328426220006312
"29267",13.1734787577065,1.16130712891247,0.380831857309451,3.04939596471004,0.00229302036545221,0.0358671766623099
"29807",3.84403328684515,2.01906106742345,0.623645751947587,3.23751274039487,0.00120576555612342,0.023068985639882
"29829",12.3068008796309,1.26889334054694,0.410636936456728,3.09006138487168,0.00200115131882352,0.0328426220006312
"29964",4.11296835723605,2.57443705476122,0.687034511127955,3.7471728320235,0.000178838868070428,0.00726336806286035
"30119",4.36175015690506,2.71281154271301,0.823507358079868,3.29421651925289,0.000986964414193791,0.0209616754023727
"30462",11.8625931930515,2.98736593784063,0.880067603585427,3.39447324917995,0.000687607572517677,0.0164104281482312
"30463",18.4544149387421,2.9983664350222,0.829725317452005,3.61368560408625,0.000301875079849231,0.00944195023631043
"30465",44.3006631629689,3.54085784092186,0.818600054334646,4.32550403847683,1.52183480440147e-05,0.00103619046240865
"30467",87.1009654318434,3.61986478327644,0.828306627892171,4.37019898354317,1.24133367072655e-05,0.000926995950881278
"30479",18.8864946223755,3.26287304396269,0.912460686824469,3.57590534154199,0.000349017932352027,0.0102840030472759
"30974",69.1994403716836,3.83548857263709,0.828780415175782,4.62787066683229,3.69444605167414e-06,0.000348715856499774
"30975",92.543496572379,4.2564617999686,0.888753247367889,4.78925034881666,1.67405523889727e-06,0.000215302104335955
"30982",154.727128585079,3.38308751416442,0.801079505765117,4.2231607347553,2.40899887626313e-05,0.00142995702526901
"30990",69.2846677971599,4.73106593845696,0.783268060937846,6.04016195016585,1.53959620269838e-09,1.18805506974892e-06
"30995",31.6161896467492,4.90667958334361,1.20995555552475,4.05525604716581,5.00794148286598e-05,0.00263888534745046
"30996",100.032692531987,4.6164044179913,0.819310997306042,5.63449585465153,1.75571183953069e-08,7.03481823956258e-06
"30997",6.7007523908499,3.6587062111988,0.983511258286447,3.72004507357983,0.000199187226665049,0.00773285620636542
"30998",29.1955138636178,4.19319026529008,0.789518356130185,5.31107381194144,1.0898117646478e-07,2.52456309474293e-05
"30999",29.5816595513204,3.69480338175462,0.88304520818232,4.18416106844642,2.86221128099912e-05,0.00165650477887824
"31000",39.2188470407476,3.21333413433961,0.87838590967012,3.65822595622736,0.000253967099754472,0.00858268781387446
"31001",9.3828003460678,2.6350476567976,0.838455226732035,3.14274104661255,0.00167373839570977,0.0293538211065766
"31003",27.9225355241672,3.30882451372847,0.916506845102528,3.61025619329479,0.000305894716079172,0.00944195023631043
"31016",32.3220565099817,3.90380203793086,0.913389458003813,4.27397317072447,1.92020151493598e-05,0.00119020975265172
"31020",6.22539295211457,5.18568500436259,1.50917695081265,3.43610138066993,0.000590150091373483,0.0148499724079306
"31021",26.3920512102756,4.20672706364941,1.28136417059778,3.28300662698168,0.00102706251225294,0.0213519179418902
"31027",4.25529136611859,4.50540804507361,1.22987259540405,3.6633128194823,0.000248974172181778,0.00858268781387446
"31039",22.8789863542929,3.94873098434945,0.924735708029312,4.27011842417605,1.95369203459029e-05,0.00119020975265172
"31040",9.43516583645289,3.47688020601998,0.965063526879697,3.60274749711208,0.00031487136097257,0.00959114737699341
"31047",14.3795730442402,5.96069974962486,1.12234052429514,5.31095475980283,1.09052401500774e-07,2.52456309474293e-05
"31049",21.0417793064262,5.69439686835259,1.04083242437453,5.47100256967351,4.47496808909885e-08,1.47993587518055e-05
"31067",12.7974639920948,2.35553701846896,0.622766911645585,3.78237342803706,0.000155340086487221,0.00664654180295888
"31417",4.91893987876395,2.13790698425431,0.670994038621834,3.18617880517298,0.00144165467541441,0.0260736763561279
"31700",100.170611749611,-1.45695827740525,0.399300702866369,-3.64877463762651,0.000263494119462101,0.00871412695078234
"31961",6.31342880164343,1.77189937237277,0.523394260814075,3.38540084413,0.000710743823905169,0.0167895097177599
"31964",24.7960778987592,-1.72694094585292,0.465438439191034,-3.71035307881848,0.000206970384982866,0.00773285620636542
"32075",13.7561258043935,1.64086673819852,0.413156872855795,3.97153441223581,7.14111826154984e-05,0.00351738059052934
"32574",84.4478566280239,3.42252105674745,0.608125574361604,5.62798408920778,1.82327902537259e-08,7.03481823956258e-06
"32611",11.1594855821578,1.71867024434441,0.46831600844616,3.66989428793356,0.000242650794778641,0.00858268781387446
"33466",17.6705384187673,1.09378526816559,0.340413881932022,3.21310418352447,0.00131308649180255,0.0244249710999899
"33624",5.74194779026041,1.73897772675238,0.571372974498732,3.04350713870917,0.00233837893031757,0.0363311894207058
"33652",280.153435494825,-1.65600304394303,0.376176279825549,-4.40219953451344,1.07158934917499e-05,0.00088597476547861
"33681",5.38826990574017,1.67764513357778,0.547387928591976,3.0648193830162,0.00217801485948159,0.0347731337910337
"34362",53.4050534787283,1.55989482921602,0.510306523240813,3.0567801079821,0.00223728335132899,0.0352334078797729
"34749",122.386900797954,-1.05643692983488,0.282357850748393,-3.74148240268432,0.000182937988987329,0.00730174904320115
"35060",67.1825768402173,1.02242470332323,0.305002068132924,3.35218941163915,0.000801751451975426,0.0178466789550299
"35072",44.1431368180035,-1.39918601935938,0.428866903847937,-3.26251806051112,0.00110427136230749,0.0218494718268534
"35089",56.3384816258533,3.52859630031673,0.342739115019915,10.2952833384999,7.40013925277328e-25,1.71313223701701e-21
"35259",45.9011974673946,-1.1744509499443,0.376333633316848,-3.12077063002098,0.00180378470296346,0.0307041293188265
"35436",31999.5493412734,-1.85662885055063,0.567842284236732,-3.26962063602963,0.0010769180612167,0.0215438874938004
"35468",26.5909199870785,-2.46602140857489,0.567336222721124,-4.3466665970085,1.38222075253387e-05,0.000969648800641183
